ID	descr	alluvial	bedrock	nlayer	depth_1	bulkd_1	oc_1	clay_1	silt_1	sand_1	rock_1	depth_2	bulkd_2	oc_2	clay_2	silt_2	sand_2	rock_2	depth_3	bulkd_3	oc_3	clay_3	silt_3	sand_3	rock_3	depth_4	bulkd_4	oc_4	clay_4	silt_4	sand_4	rock_4	depth_5	bulkd_5	oc_5	clay_5	silt_5	sand_5	rock_5	depth_6	bulkd_6	oc_6	clay_6	silt_6	sand_6	rock_6	depth_7	bulkd_7	oc_7	clay_7	silt_7	sand_7	rock_7
1	Aluvial	1	1	6	180	1.76	0.5	18	66	16	0	550	1.75	0.5	29	53	18	0	680	1.56	0	1	2	97	4	790	1.74	0.2	20	51	29	0	1500	1.56	0	1	2	97	12	1800	1.71	0.8	33	48	19	0	0	0	0	0	0	0	0
2	Areias Quartzosas Distróficas e Arenoquartzosos Profundos	0	1	5	100	1.48	1.4	6	6	88	0	950	1.55	0.2	4	3	93	0	1200	1.55	0.1	5	4	91	0	1750	1.56	0	6	6	88	0	2300	1.56	0	6	4	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Brunizem Avermelhado	0	1	4	120	1.71	1.2	31	32	37	3	350	1.79	0.5	36	28	36	1	550	1.88	0.3	28	28	44	3	1000	1.86	0.1	13	29	58	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Bruno não Cálcico	0	1	5	200	1.45	0.8	14	22	64	19	350	1.4	0.4	52	16	32	1	450	1.48	0.3	37	18	45	1	600	1.49	0.2	29	15	56	2	740	1.54	0.1	10	11	79	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Cambisol	0	1	6	60	0.98	6.7	41	18	41	6	180	0.94	6.4	56	14	30	3	600	0.79	7.4	69	13	18	1	900	0.75	8.3	69	14	17	4	1100	0.77	8.2	65	15	20	5	2300	0.9	6.9	56	22	22	10	0	0	0	0	0	0	0
6	Latosol Vermelho Amarelo	0	1	6	130	1.27	3	38	7	55	0	380	1.34	1.8	38	6	56	0	650	1.41	1.1	38	7	55	0	950	1.43	0.7	40	5	55	0	1330	1.45	0.5	42	5	53	0	1680	1.47	0.3	42	6	52	0	0	0	0	0	0	0	0
7	Litólicos Eutróficos	0	1	2	250	1.36	1.4	18	48	34	21	400	1.44	0.4	18	57	25	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Litólicos Eutróficos e Distroficos	0	1	2	220	1.57	0.5	6	13	81	52	500	1.57	0.1	15	18	67	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Planosols	0	1	3	100	1.56	0.2	5	1	94	10	250	1.56	0.1	17	7	76	27	350	1.61	0.1	20	11	69	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Podzólico Vermelho Amarelo	0	1	5	370	1.55	0.1	4	7	89	2	770	1.55	0	5	8	87	5	870	1.53	0.1	14	9	77	9	1300	1.52	0.1	32	11	57	5	1750	1.55	0.1	20	12	68	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Podzólico Vermelho Amarelo Equivalente Eutrofico	0	1	6	80	1.58	0.4	6	8	86	1	270	1.56	0.3	10	8	82	1	550	1.56	0.2	20	10	70	1	950	1.56	0.3	33	9	58	1	1350	1.54	0.4	39	6	55	1	2750	1.57	0.2	30	7	63	1	0	0	0	0	0	0	0
12	Regosol Eutrófico	0	1	6	60	1.54	0.4	2	6	92	6	190	1.55	0.4	2	5	93	5	530	1.55	0.1	2	3	95	6	1220	1.57	0.1	6	10	84	8	2000	1.57	0.1	7	8	85	9	2350	1.57	0.1	14	9	77	8	0	0	0	0	0	0	0
13	Solonchak Solonétzico	0	1	7	70	1.54	1.2	47	44	9	0	270	1.55	0.5	74	21	5	0	600	1.58	0.4	72	21	7	0	900	1.72	0.3	65	23	12	0	1400	1.67	0.2	57	23	20	0	1550	1.62	0.2	43	20	39	0	1750	1.56	0.1	26	6	68	0
14	Solonetz Solodizado	0	1	6	40	1.53	2.1	12	36	52	13	110	1.6	0.7	8	36	56	14	420	1.68	0.5	30	12	58	23	650	1.68	0.4	24	13	63	11	890	1.72	0.2	25	13	62	7	1200	1.9	0.3	28	20	52	45	0	0	0	0	0	0	0
15	Terra Roxa Estruturada Similar	0	1	6	170	1.23	2	40	17	43	1	300	1.31	0.7	40	10	50	2	500	1.29	0.4	48	9	43	2	750	1.27	0.3	54	11	35	2	1600	1.28	0.2	55	11	34	2	1800	1.3	0.1	52	20	28	2	0	0	0	0	0	0	0
16	Vertisol	0	1	5	100	1.73	1.9	31	32	37	0	500	1.72	0.6	43	13	49	1	950	1.75	0.4	44	23	33	1	1350	1.88	0.2	18	37	45	1	1600	1.65	0.1	11	11	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
