Date,Time,Hr_(%),Rg_(W/m2),Rg(MJ/d/m²),Tair_(°C),Vv_(m/s)
6/14/2013,00:00:00,71.5999984741,3.2790000439,0.2833056038,19.3600006104,0.3959999979
6/14/2013,00:30:00,75.9000015259,3.25,0.2808,18.5499992371,0.248999998
6/14/2013,01:00:00,76.8000030518,3.256000042,0.2813184036,18.2900009155,0.3190000057
6/14/2013,01:30:00,77.1999969482,3.256000042,0.2813184036,18.1200008392,0.3779999912
6/14/2013,02:00:00,78.3000030518,3.2379999161,0.2797631927,17.7700004578,0.5630000234
6/14/2013,02:30:00,80.1999969482,3.242000103,0.2801088089,17.3500003815,0.8309999704
6/14/2013,03:00:00,81.5,3.2269999981,0.2788127998,17.1299991608,0.7089999914
6/14/2013,03:30:00,82.6999969482,3.2200000286,0.2782080025,16.8500003815,0.4679999948
6/14/2013,04:00:00,83.9000015259,3.2160000801,0.2778624069,16.5799999237,0.6679999828
6/14/2013,04:30:00,84.6999969482,3.253000021,0.2810592018,16.3899993896,0.4309999943
6/14/2013,05:00:00,85.5,3.2509999275,0.2808863937,16.1700000763,0.6389999986
6/14/2013,05:30:00,85.6999969482,4.6620001793,0.4027968155,16.0499992371,0.4740000069
6/14/2013,06:00:00,86.1999969482,25.6599998474,2.2170239868,16.0599994659,0.3300000131
6/14/2013,06:30:00,83.8000030518,93.9000015259,8.1129601318,16.7900009155,0.7680000067
6/14/2013,07:00:00,80.8000030518,192.1000061035,16.5974405273,17.4400005341,1.0939999819
6/14/2013,07:30:00,77.0999984741,299,25.8336,18.5200004578,0.7340000272
6/14/2013,08:00:00,72.3000030518,406.299987793,35.1043189453,19.75,0.5960000157
6/14/2013,08:30:00,65.3199996948,507,43.8048,21.2600002289,0.5379999876
6/14/2013,09:00:00,61.6800003052,604.799987793,52.2547189453,22.3400001526,0.7360000014
6/14/2013,09:30:00,57.6199989319,690.9000244141,59.6937621094,23.4899997711,0.80400002
6/14/2013,10:00:00,52.7799987793,774,66.8736,24.5100002289,1.2419999838
6/14/2013,10:30:00,48.6399993896,839,72.4896,25.0799999237,1.3730000257
6/14/2013,11:00:00,44.5200004578,888,76.7232,25.9300003052,1.800999999
6/14/2013,11:30:00,42.5800018311,922,79.6608,26.9899997711,1.8470000029
6/14/2013,12:00:00,40.8600006104,941,81.3024,27.8700008392,1.8400000334
6/14/2013,12:30:00,36.5800018311,953,82.3392,29.1900005341,2.0590000153
6/14/2013,13:00:00,33.3699989319,957,82.6848,30.1499996185,1.7790000439
6/14/2013,13:30:00,31.0900001526,899,77.6736,31.3299999237,2.0559999943
6/14/2013,14:00:00,29.7099990845,917,79.2288,32.0600013733,1.5809999704
6/14/2013,14:30:00,28.4699993134,889,76.8096,32.7000007629,1.8509999514
6/14/2013,15:00:00,27.7199993134,836,72.2304,33.1500015259,1.4090000391
6/14/2013,15:30:00,26.0799999237,771,66.6144,33.5600013733,1.5549999475
6/14/2013,16:00:00,24.2900009155,693.299987793,59.9011189453,34.1199989319,1.8789999485
6/14/2013,16:30:00,24.6700000763,601.200012207,51.9436810547,34.2900009155,1.5279999971
6/14/2013,17:00:00,23.3799991608,504.3999938965,43.5801594727,34.5400009155,1.8609999418
6/14/2013,17:30:00,22.7700004578,412,35.5968,34.5800018311,1.621999979
6/14/2013,18:00:00,22.4099998474,325.3999938965,28.1145594727,34.6699981689,1.7879999876
6/14/2013,18:30:00,27.3700008392,244.1999969482,21.0988797363,33.0099983215,3.8069999218
6/14/2013,19:00:00,30.8999996185,162.6000061035,14.0486405273,31.2299995422,3.7269999981
6/14/2013,19:30:00,32.5099983215,55.2700004578,4.7753280396,29.7999992371,2.9820001125
6/14/2013,20:00:00,34.3400001526,11.1999998093,0.9676799835,28.3500003815,2.5659999847
6/14/2013,20:30:00,37.0600013733,3.2999999523,0.2851199959,27.2700004578,1.6050000191
6/14/2013,21:00:00,39.5800018311,3.2969999313,0.2848607941,26.4099998474,1.0789999962
6/14/2013,21:30:00,43.75,3.2980000973,0.2849472084,25.3600006104,0.7139999866
6/14/2013,22:00:00,64.0899963379,3.2980000973,0.2849472084,21.8899993896,0.5099999905
6/14/2013,22:30:00,71.5,3.2860000134,0.2839104012,20.1299991608,0.5120000243
6/14/2013,23:00:00,62.8899993896,3.2880001068,0.2840832092,21.0599994659,0.6830000281
6/14/2013,23:30:00,67.7300033569,3.2769999504,0.2831327957,20.0900001526,0.3910000026
6/15/2013,00:00:00,61.4799995422,3.2850000858,0.2838240074,20.6599998474,0.5960000157
6/15/2013,00:30:00,64.0899963379,3.2890000343,0.284169603,19.9699993134,0.4939999878
6/15/2013,01:00:00,71.1999969482,3.257999897,0.2814911911,18.5900001526,0.4189999998
6/15/2013,01:30:00,77.5,3.2430000305,0.2801952026,17.4500007629,0.3089999855
6/15/2013,02:00:00,77.0999984741,3.2430000305,0.2801952026,17.4400005341,0.5479999781
6/15/2013,02:30:00,67.9800033569,3.2799999714,0.2833919975,18.9799995422,0.4959999919
6/15/2013,03:00:00,68.6800003052,3.2660000324,0.2821824028,18.7600002289,0.1819999963
6/15/2013,03:30:00,72.1999969482,3.2400000095,0.2799360008,17.8500003815,0.2349999994
6/15/2013,04:00:00,71.9000015259,3.253000021,0.2810592018,17.5499992371,0.4059999883
