Date,LE_mean,ET_act
1/7/2012,1.6607593677,0.0581265779
1/8/2012,34.6285060142,1.2119977105
1/9/2012,28.5719885833,1.0000196004
1/10/2012,30.0808029497,1.0528281032
1/11/2012,28.6515012639,1.0028025442
1/12/2012,36.6313709104,1.2820979819
1/13/2012,36.4426901885,1.2754941566
1/14/2012,35.9161739208,1.2570660872
1/15/2012,40.83953065,1.4293835728
1/16/2012,43.6563499783,1.5279722492
1/17/2012,56.2330028571,1.9681551
1/18/2012,30.2498177254,1.0587436204
1/19/2012,44.7616973667,1.5666594078
1/20/2012,37.0133877477,1.2954685712
1/21/2012,37.8124135979,1.3234344759
1/22/2012,34.1661930229,1.1958167558
1/23/2012,28.76815294,1.0068853529
1/24/2012,30.7179157583,1.0751270515
1/25/2012,31.4610811622,1.1011378407
1/26/2012,27.6306566347,0.9670729822
1/27/2012,23.1834212333,0.8114197432
1/28/2012,76.1317107536,2.6646098764
1/29/2012,38.5589280346,1.3495624812
1/30/2012,34.6959041088,1.2143566438
1/31/2012,45.6637909939,1.5982326848
2/1/2012,45.9563526583,1.608472343
2/2/2012,54.1918991519,1.8967164703
2/3/2012,39.10925355,1.3688238743
2/4/2012,33.5335527104,1.1736743449
2/5/2012,23.8527867313,0.8348475356
2/6/2012,34.2629817854,1.1992043625
2/7/2012,33.5327986141,1.1736479515
2/20/2012,5.1640975833,0.1807434154
2/21/2012,25.3173929167,0.8861087521
2/22/2012,28.2302408333,0.9880584292
2/23/2012,38.2342146447,1.3381975126
2/24/2012,23.9219527234,0.8372683453
2/25/2012,42.2109182292,1.477382138
2/26/2012,34.1647950333,1.1957678262
2/27/2012,49.9881453958,1.7495850889
2/28/2012,49.5494580542,1.7342310319
2/29/2012,46.191877525,1.6167157134
3/1/2012,52.7786051429,1.84725118
5/22/2012,0.1776420284,0.006217471
5/23/2012,-0.0528983206,-0.0018514412
5/24/2012,0.128285199,0.004489982
5/25/2012,0.0650362392,0.0022762684
5/26/2012,0.0350006022,0.0012250211
5/27/2012,0.067656858,0.00236799
5/28/2012,0.0035924743,0.0001257366
5/29/2012,0.1090643119,0.0038172509
5/30/2012,0.0627147296,0.0021950155
5/31/2012,0.0346307765,0.0012120772
6/1/2012,-0.0626585999,-0.002193051
6/2/2012,-0.0351614321,-0.0012306501
6/3/2012,0.0483702915,0.0016929602
6/4/2012,-0.0185484751,-0.0006491966
6/5/2012,-0.0023173285,-8.11064960416666E-005
6/6/2012,0.0327990141,0.0011479655
6/7/2012,-0.0329706746,-0.0011539736
6/8/2012,0.0049773499,0.0001742072
6/9/2012,-0.1047907263,-0.0036676754
6/10/2012,-0.0404155394,-0.0014145439
6/11/2012,0.0750295851,0.0026260355
6/12/2012,0.0780531848,0.0027318615
6/14/2012,59.4448905,2.0805711675
6/15/2012,123.2670093056,4.3143453257
6/16/2012,97.9589869631,3.4285645437
6/17/2012,124.3292558369,4.3515239543
6/18/2012,129.3224977969,4.5262874229
6/19/2012,137.3792590602,4.8082740671
6/20/2012,152.490179575,5.3371562851
6/21/2012,137.8211765125,4.8237411779
6/22/2012,138.3603582417,4.8426125385
6/23/2012,148.3732468827,5.1930636409
6/24/2012,164.6425308125,5.7624885784
6/25/2012,132.5938240913,4.6407838432
6/26/2012,99.1412262609,3.4699429191
7/27/2012,190.0644968636,6.6522573902
7/28/2012,128.9519219729,4.5133172691
7/29/2012,153.9937912583,5.389782694
7/30/2012,152.5127649702,5.337946774
7/31/2012,188.137830515,6.584824068
8/1/2012,171.6878130627,6.0090734572
8/2/2012,162.7434203574,5.6960197125
8/3/2012,195.6745273935,6.8486084588
8/14/2012,100.32269875,3.5112944563
8/15/2012,179.9458069083,6.2981032418
8/16/2012,184.8809045604,6.4708316596
8/17/2012,176.7601227917,6.1866042977
8/18/2012,117.2117158833,4.1024100559
8/19/2012,157.2732489271,5.5045637124
8/20/2012,177.4078462766,6.2092746197
8/21/2012,215.4077627083,7.5392716948
8/22/2012,204.9379863246,7.1728295214
8/23/2012,152.2923964581,5.330233876
8/24/2012,160.3862053667,5.6135171878
8/25/2012,177.0300099369,6.1960503478
8/26/2012,189.2963234708,6.6253713215
8/27/2012,164.2846905021,5.7499641676
8/28/2012,184.9354212271,6.4727397429
8/29/2012,165.1655067917,5.7807927377
8/30/2012,164.6483742483,5.7626930987
8/31/2012,149.3894891625,5.2286321207
9/1/2012,208.6942237633,7.3042978317
9/2/2012,197.3750144438,6.9081255055
9/3/2012,179.4709385985,6.2814828509
9/4/2012,173.9129687417,6.086953906
9/5/2012,159.8193576815,5.5936775189
9/6/2012,157.6098190566,5.516343667
9/7/2012,159.6274124833,5.5869594369
9/8/2012,187.303635049,6.5556272267
9/9/2012,152.1150059458,5.3240252081
9/10/2012,139.8532491371,4.8948637198
9/11/2012,132.659744666,4.6430910633
9/12/2012,170.2318969856,5.9581163945
9/13/2012,155.9521889188,5.4583266122
9/14/2012,160.1877383927,5.6065708437
9/15/2012,155.4299953458,5.4400498371
9/16/2012,140.1097643813,4.9038417533
9/17/2012,172.6344458677,6.0422056054
9/18/2012,179.5590769417,6.284567693
9/19/2012,157.031786307,5.4961125207
9/20/2012,150.5227820098,5.2682973703
9/21/2012,149.1794388896,5.2212803611
9/22/2012,159.7206078253,5.5902212739
9/23/2012,129.8583524094,4.5450423343
9/24/2012,279.551747,9.784311145
11/10/2012,118.3424351048,4.1419852287
11/11/2012,178.753268825,6.2563644089
11/12/2012,99.911752931,3.4969113526
11/13/2012,33.1501234938,1.1602543223
11/14/2012,83.4521777458,2.9208262211
11/15/2012,70.0335922848,2.45117573
11/16/2012,94.684983688,3.3139744291
