Date,Time,LE
1/7/2013,17:30:00,18.62128
1/7/2013,18:00:00,0.7483621
1/7/2013,18:30:00,-0.1179265
1/7/2013,19:00:00,2.230427
1/7/2013,19:30:00,0.875802
1/7/2013,20:00:00,3.403857
1/7/2013,20:30:00,1.210657
1/7/2013,21:00:00,2.941183
1/7/2013,21:30:00,0.3018219
1/7/2013,22:00:00,0.3896436
1/7/2013,22:30:00,1.150707
1/7/2013,23:00:00,-0.07411978
1/7/2013,23:30:00,0.5570067
1/8/2013,0:00:00,0.6360719
1/8/2013,0:30:00,1.387246
1/8/2013,1:00:00,0.7362902
1/8/2013,1:30:00,0.437652
1/8/2013,2:00:00,6.510967
1/8/2013,2:30:00,1.16508
1/8/2013,3:00:00,4.4389
1/8/2013,3:30:00,4.585767
1/8/2013,4:00:00,-0.03950953
1/8/2013,4:30:00,1.284195
1/8/2013,5:00:00,-0.3559976
1/8/2013,5:30:00,2.64583
1/8/2013,6:00:00,5.014266
1/8/2013,6:30:00,-0.9369931
1/8/2013,7:00:00,1.736457
1/8/2013,7:30:00,0.2205269
1/8/2013,8:00:00,-0.5546293
1/8/2013,8:30:00,0.3951143
1/8/2013,9:00:00,10.45283
1/8/2013,9:30:00,41.71278
1/8/2013,10:00:00,30.4335
1/8/2013,10:30:00,82.63516
1/8/2013,11:00:00,101.7026
1/8/2013,11:30:00,102.0214
1/8/2013,12:00:00,130.3641
1/8/2013,12:30:00,122.89
1/8/2013,13:00:00,204.8489
1/8/2013,13:30:00,132.8264
1/8/2013,14:00:00,117.0539
1/8/2013,14:30:00,135.0588
1/8/2013,15:00:00,122.3688
1/8/2013,15:30:00,144.6843
1/8/2013,16:00:00,100.1719
1/8/2013,16:30:00,59.98805
1/8/2013,17:00:00,31.74296
1/8/2013,17:30:00,-0.52031
1/8/2013,18:00:00,-1.672544
1/8/2013,18:30:00,0.7206759
1/8/2013,19:00:00,6.546731
1/8/2013,19:30:00,0.9270282
1/8/2013,20:00:00,1.054412
1/8/2013,20:30:00,-5.621481
1/8/2013,21:00:00,-1.612149
1/8/2013,21:30:00,3.787158
1/8/2013,22:00:00,-0.2485266
1/8/2013,22:30:00,-0.6422805
1/8/2013,23:00:00,-0.3934319
1/8/2013,23:30:00,-0.6444908
1/9/2013,0:00:00,2.866884
1/9/2013,0:30:00,6.068763
1/9/2013,1:00:00,0.04105476
1/9/2013,1:30:00,-1.713384
1/9/2013,2:00:00,1.878491
