pos loc depth_upper depth_lower clay silt sand
A1 dripper 0 5 13.9 35.8 50.3
A2 trees 10 15 24.3 39.3 36.4
A3 rows 30 35 23.1 39.9 37.1
B1 rows 10 15 18.5 32.1 49.4
B2 dripper 30 35 20.5 31.0 48.5
B3 trees 0 5 17.5 38.0 44.5
C1 trees 30 35 19.9 35.2 44.9
C2 rows 0 5 17.9 35.7 46.4
C2 rows 5 10 26.1 29.6 44.2
C2 rows 10 15 21.2 37.6 41.2
C2 rows 15 20 28.8 34.6 36.6
C2 rows 20 25 20.8 32.9 46.3
C2 rows 25 30 22.0 31.8 46.2
C2 rows 30 35 20.3 29.9 49.9
C3 dripper 0 5 12.5 27.7 59.8
D1 trees 0 5 28.6 38.4 33.0
D2 trees 10 15 21.0 41.3 37.7
D3 dripper 20 25 20.4 41.4 38.2
E2 dripper 20 25 18.1 33.0 48.9
F1 trees 30 35 19.5 37.3 43.2
F2 rows 10 15 26.2 35.8 38.0
F3 dripper 0 5 14.4 32.0 53.6
