logger,year,doy,hhmm,tension,PARgl_0,PARdif,NET_Sw_0,NET_LW,Temp,HR,R,Pa,incoming PAR,reflected PAR
1,2013,354,1630,1,562,136.4,165.9,-99.5,11.42,49.81,0,1011,1,1
1,2013,354,1700,1,348.8,114.8,100,-96.6,11.47,49.33,0,1011,1,1
1,2013,354,1730,1,190.4,88.5,45.44,-91.7,11.08,53.24,0,1012,1,1
1,2013,354,1800,1,71,43.12,10.37,-88,10.32,57.22,0,1012,1,1
1,2013,354,1830,1,0,7.03,0,-83.1,9.37,62.03,0,1012,1,1
1,2013,354,1900,1,0,3.112,0,-82.3,8.77,65.14,0,1012,1,1
1,2013,354,1930,1,0,2.983,0,-81.1,8.04,66.91,0,1012,1,1
1,2013,354,2000,1,0,3.062,0,-80.9,7.37,69.77,0,1012,1,1
1,2013,354,2030,1,0,2.999,0,-78.6,6.697,73.3,0,1012,1,1
1,2013,354,2100,1,0,3.085,0,-75.5,6.432,74.3,0,1012,1,1
1,2013,354,2130,1,0,2.966,0,-73.4,6.178,75.8,0,1013,1,1
1,2013,354,2200,1,0,3.044,0,-73.2,6.183,75.6,0,1013,1,1
1,2013,354,2230,1,0,3.029,0,-74.3,6.066,76.2,0,1013,1,1
1,2013,354,2300,1,0,2.965,0,-74.4,6.024,76.6,0,1013,1,1
1,2013,354,2330,1,0,3.067,0,-73.3,5.541,79.1,0,1013,1,1
1,2013,354,0000,1,0,2.939,0,-71.9,5.143,81.1,0,1013,1,1
1,2013,355,0030,1,0,3.019,0,-68.8,4.796,82.8,0,1013,1,1
1,2013,355,100,1,0,3.05,0,-67.99,4.546,83.9,0,1012,1,1
1,2013,355,130,1,0,2.939,0,-68.25,4.228,84.9,0,1013,1,1
1,2013,355,200,1,0,2.984,0,-66.23,3.373,88.3,0,1013,1,1
1,2013,355,230,1,0,3.038,0,-67.19,3.647,86.8,0,1013,1,1
1,2013,355,300,1,0,3.034,0,-69.06,3.88,84.3,0,1013,1,1
1,2013,355,330,1,0,3.002,0,-68.8,4.014,81.9,0,1012,1,1
1,2013,355,400,1,0,2.975,0,-70.4,4.189,78.4,0,1012,1,1
1,2013,355,430,1,0,3.034,0,-69.8,3.83,78.8,0,1012,1,1
1,2013,355,500,1,0,3.034,0,-69,3.667,78.6,0,1012,1,1
1,2013,355,530,1,0,3.026,0,-67.23,3.446,78.8,0,1012,1,1
1,2013,355,600,1,0,2.965,0,-66.48,3.317,78.7,0,1012,1,1
1,2013,355,630,1,0,3.002,0,-62.29,2.74,81.1,0,1012,1,1
1,2013,355,700,1,0,3.006,0,-60.05,2.761,81.3,0,1012,1,1
1,2013,355,730,1,0,3.03,0,-59.78,2.635,81.6,0,1013,1,1
1,2013,355,800,1,0,2.969,0,-63.52,2.99,79.8,0,1013,1,1
1,2013,355,830,1,0,3.291,0,-66.62,2.951,79.4,0,1013,1,1
1,2013,355,900,1,35.74,22.45,7.97,-67.2,2.698,80.9,0,1013,1,1
1,2013,355,930,1,142.9,80.5,43.83,-70.9,3.443,77.6,0,1013,1,1
1,2013,355,1000,1,289.9,128.2,91.2,-74.4,4.136,76.2,0,1013,1,1
1,2013,355,1030,1,506,164,161.8,-73.3,4.747,75.3,0,1013,1,1
1,2013,355,1100,1,687,249.9,235.7,-73.6,5.908,72.6,0,1013,1,1
1,2013,355,1130,1,805,215.4,266,-83.2,7.3,67.82,0,1013,1,1
1,2013,355,1200,1,905,228.7,312.4,-88.1,8.54,63.23,0,1013,1,1
1,2013,355,1230,1,942,226.9,334.8,-92.7,9.58,56.57,0,1013,1,1
1,2013,355,1300,1,1017,214.6,352.6,-97.4,10.32,52.43,0,1013,1,1
1,2013,355,1330,1,977,211.6,333.8,-100.4,11.38,50.22,0,1012,1,1
1,2013,355,1400,1,1025,209.5,350.8,-102.6,11.79,48.17,0,1012,1,1
1,2013,355,1430,1,1035,197.9,349.2,-104.5,12.2,46.48,0,1011,1,1
1,2013,355,1500,1,995,213.5,323.1,-104.3,13.02,44.16,0,1011,1,1
1,2013,355,1530,1,909,288.5,290.8,-98.4,13.55,42.96,0,1011,1,1
1,2013,355,1600,1,738,286.9,236.7,-94.7,13.46,42.42,0,1011,1,1
1,2013,355,1630,1,411.4,257.4,141,-83.5,13.06,42.35,0,1011,1,1
1,2013,355,1700,1,219.9,184.4,81.8,-68.04,12.33,45.85,0,1011,1,1
1,2013,355,1730,1,115.7,101.2,40.54,-65.53,11.48,51.86,0,1011,1,1
1,2013,355,1800,1,42.04,33.43,8.96,-67.35,10.18,66.57,0,1011,1,1
1,2013,355,1830,1,0,6.251,0,-80.3,9.33,71.6,0,1011,1,1
1,2013,355,1900,1,0,3.003,0,-79.6,8.61,74.4,0,1012,1,1
1,2013,355,1930,1,0,3.042,0,-79.7,8.79,70.7,0,1012,1,1
1,2013,355,2000,1,0,3.096,0,-79.5,8.82,67.28,0,1012,1,1
1,2013,355,2030,1,0,2.985,0,-79.8,8.51,66.78,0,1012,1,1
1,2013,355,2100,1,0,3.203,0,-78.8,8.07,68.64,0,1012,1,1
1,2013,355,2130,1,0,3.025,0,-78.2,7.95,67,0,1012,1,1
1,2013,355,2200,1,0,3.068,0,-78.1,7.62,66.59,0,1012,1,1
1,2013,355,2230,1,0,3.146,0,-76.2,7.01,69.4,0,1012,1,1
1,2013,355,2300,1,0,3.016,0,-75.4,6.489,72.6,0,1012,1,1
1,2013,355,2330,1,0,3.111,0,-75.5,6.161,73.4,0,1012,1,1
1,2013,355,0000,1,0,3.016,0,-75.1,5.888,73.4,0,1012,1,1
1,2013,356,0030,1,0,3.124,0,-75.5,5.817,73.1,0,1012,1,1
1,2013,356,100,1,0,3.087,0,-73.8,5.336,75.3,0,1012,1,1
1,2013,356,130,1,0,3.009,0,-71.3,4.719,78.5,0,1012,1,1
1,2013,356,200,1,0,3.07,0,-71.2,4.405,80.5,0,1012,1,1
1,2013,356,230,1,0,3.11,0,-71.3,4.209,82,0,1012,1,1
1,2013,356,300,1,0,3.063,0,-69.45,4.04,82.7,0,1012,1,1
1,2013,356,330,1,0,3.013,0,-67.57,3.443,85,0,1012,1,1
1,2013,356,400,1,0,3.078,0,-66.85,3.239,86.5,0,1012,1,1
1,2013,356,430,1,0,3.065,0,-68.3,3.785,83.1,0,1012,1,1
1,2013,356,500,1,0,3.047,0,-67.09,3.068,86,0,1012,1,1
1,2013,356,530,1,0,3.073,0,-67.24,3.072,85.7,0,1012,1,1
1,2013,356,600,1,0,3.089,0,-66.14,3.004,85.7,0,1012,1,1
1,2013,356,630,1,0,3.117,0,-59.64,2.962,85.3,0,1012,1,1
1,2013,356,700,1,0,3.045,0,-54.41,2.513,86.9,0,1011,1,1
1,2013,356,730,1,0,3.047,0,-61.23,2.758,85.7,0,1012,1,1
1,2013,356,800,1,0,3.075,0,-63.03,2.248,87.5,0,1012,1,1
1,2013,356,830,1,0,3.332,0,-62.43,1.801,89.7,0,1012,1,1
1,2013,356,900,1,34.98,22.38,6.095,-60.09,1.613,90.4,0,1012,1,1
1,2013,356,930,1,152,71.4,42.04,-63.58,2.231,87.8,0,1012,1,1
1,2013,356,1000,1,328.5,110.8,98.8,-67.08,3.49,82.9,0,1012,1,1
1,2013,356,1030,1,508.5,134,156.8,-71.4,4.655,79.8,0,1012,1,1
1,2013,356,1100,1,680.1,151.6,214.1,-74.5,5.996,76.8,0,1013,1,1
1,2013,356,1130,1,828,163.4,264.9,-76.8,6.554,75.2,0,1013,1,1
1,2013,356,1200,1,911,181,306.2,-80.4,7.95,73.2,0,1013,1,1
1,2013,356,1230,1,985,175.2,336.3,-83.3,9.12,69.61,0,1012,1,1
1,2013,356,1300,1,1060,181.3,355.2,-84.7,9.94,62.66,0,1012,1,1
1,2013,356,1330,1,1129,216.7,379,-83.2,10.94,59.16,0,1012,1,1
1,2013,356,1400,1,1074,216.7,359.3,-85.8,12.2,54.44,0,1011,1,1
1,2013,356,1430,1,943,468.3,333.2,-58.87,12.87,52.87,0,1011,1,1
1,2013,356,1500,1,581.1,484.8,208.8,-51.91,12.35,55.29,0,1010,1,1
1,2013,356,1530,1,972,360.4,306,-74,13.24,52.68,0,1010,1,1
1,2013,356,1600,1,765,286,241.4,-65.39,13.99,49.62,0,1010,1,1
1,2013,356,1630,1,303.3,278.9,115.4,-32.07,12.6,52.72,0,1010,1,1
1,2013,356,1700,1,189.8,177.8,72.6,-29.72,12.29,54.24,0,1010,1,1
1,2013,356,1730,1,121.8,106.9,41.78,-40.61,11.95,57.21,0,1010,1,1
1,2013,356,1800,1,46.04,36.26,9.15,-52.09,11.58,56.34,0,1010,1,1
1,2013,356,1830,1,0,5.81,0,-20.95,10.86,66.3,0,1010,1,1
1,2013,356,1900,1,0,3.186,0,-24.47,10.36,76.1,0,1010,1,1
1,2013,356,1930,1,0,3.087,0,-26.33,10.07,78,0,1011,1,1
1,2013,356,2000,1,0,3.057,0,-46.93,9.79,79.1,0,1011,1,1
1,2013,356,2030,1,0,3.288,0,-18.67,9.44,80.3,0,1011,1,1
1,2013,356,2100,1,0,3.051,0,-39.11,9.7,72.9,0,1011,1,1
1,2013,356,2130,1,0,3.166,0,-51.53,9.71,68.88,0,1010,1,1
1,2013,356,2200,1,0,3.218,0,-29.42,9.67,66.66,0,1010,1,1
