@E=$000000;&;&93%00.78#93131942;@000000
@E=$000008;D;2013/11/08,15:33:47+04;@000008
@E=$000010;M;01;@000010
@E=$000018;M;01;@000018
@E=$000020;M;01;@000020
@E=$000028;D;2013/11/08,15:45:00+04;@000028
@E=$000030;E;15:45;080;188;188;182;1;@000030
@E=$089940;&;&93%00.88#93131942;@089940
@E=$089948;D;2015/09/20,08:21:46+04;@089948
@E=$089950;M;04;@089950
@E=$089958;D;2015/09/20,08:22:11+04;@089958
@E=$089960;A;0000D1013B1C;@089960
@E=$089968;D;2015/09/20,08:22:11+04;@089968
@E=$089970;C;2015/09/20,08:22:11+04;@089970
@E=$089978;M;04;@089978
@E=$089980;D;2015/09/20,08:22:34+04;@089980
@E=$089988;A;0000D1013B1C;@089988
@E=$089990;D;2015/09/20,08:22:34+04;@089990
@E=$089998;C;2015/09/20,08:22:34+04;@089998
@E=$0899A0;M;08;@0899A0
@E=$0899A8;?;FFFFFFFFFFFFFFFF;@0899A8
